Headword,Headword_Data,Definitions,Occurrences in the Aeneid
"ā, ab, abs","a, ab, abs","(prep. with abl.), from, in relations of space, time, source, cause, and agency; from, 1.371; following a substantive directly, with ellipsis of participle, 1.160; at, on, to, 7.106; from the direction, on the side of, 5.19; in respect to, 11.174; according to, 9.235; from a period or point of time, 2.87; since, after, 1.730; (of persons), by, 2.429; ā tergō, from the rear, behind, 1.186; ab ūsque, as far as from, even from, 7.289. In composition, ab is unchanged before vowels and before i(= j), h, b, d, l, n, r, s; becomes abs before c, q, t, as before p; ā in āfui from absum; and au is used in auferō, from ab and ferō, and in aufugiō, from ab and fugiō.",197
"Abaris, is, m.","Abaris, is, m.","a Rutulian warrior, 9.344.",1
"Abās, antis, m.","Abas, antis, m.","1. The twelfth king of Argos, grandson of Danaus, 3.286. 2. A Trojan, follower of Aeneas, 1.121. 3. An Etruscan, 10.427.",4
"abdō, didī, ditus, 3, a.","abdo, didi, ditus, 3, a.","to put away; with the point or place where, in the abl. alone or with a prep., the acc. with prep., or the dative; to hide, shut up, 1.60; to bury, plunge, thrust, 2.553.",6
"abdūcō, dūxī, ductus, 3, a.","abduco, duxi, ductus, 3, a.","to lead away; remove, take away, 3.601; take away by force, 7.362; draw back, 5.428.",4
"Abella, ae, f.","Abella, ae, f.","Abella, a town in Campania, N.E. of Naples, 7.740.",1
"abeō, īvī, or iī, itus, īre, irreg. n.","abeo, ivi, or ii, itus, ire, irreg. n.","to go away, depart, 2.675; go off, go aside, turn off, 5.162; pass into, sink into, 9.700; go forward, take the lead, 5.318; retreat, 2.382; change or be transformed.",20
"abiciō, iēcī, iectus, 3, a.","abicio, ieci, iectus, 3, a.","to cast off, away or down, 10.736. (ab and iaciō)",1
"abies, etis (often trisyll. in the oblique cases), f.","abies, etis (often trisyll. in the oblique cases), f.","a fir tree; fir wood or fir timber, 2.16; (meton.), a ship, 8.91; a lance, 11.667.",6
"abigō, ēgī, āctus, 3, a.","abigo, egi, actus, 3, a.","to drive off or away from, i.e. beyond (others in), 8.407; drive away, 11.261. (ab and agō)",2
"abitus, ūs, m.","abitus, us, m.","a departure, 8.214; a passage, or outlet, 9.380. (abeō)",1
"abiūrō, āvī, ātus, 1, a.","abiuro, avi, atus, 1, a.","to swear off; deny upon oath; deny, disavow, 8.263.",1
"abluō, luī, lūtus, 3, a.","abluo, lui, lutus, 3, a.","to wash away, 9.818; cleanse, purify, wash, 2.720.",3
"abnegō, āvī, ātus, 1, a.","abnego, avi, atus, 1, a.","to deny, refuse, with acc. and dat., 7.424, with inf., 2.637; alone, 2.654.",3
"abnuō, nuī, nuitus or nūtus, 3, a. and n.","abnuo, nui, nuitus or nutus, 3, a. and n.","to shake the head in dissent; refuse, with acc., 4.108; reject, 5.531; forbid, with acc. and inf., 10.8.",3
"aboleō, ēvī, itus, 2, a.","aboleo, evi, itus, 2, a.","to cause to wane or waste; to destroy, 4.497; cleanse, efface, wipe out, 11.789; obliterate the memory of, 1.720.",3
"abolēscō, olēvī, 2, inc. n.","abolesco, olevi, 2, inc. n.","to decay, 7.232. (aboleō)",1
"abripiō, ripuī, reptus, 3, a.","abripio, ripui, reptus, 3, a.","to take away violently; snatch, carry away, 1.108; 4.600. (ab and rapiō)",2
"abrumpō, rūpī, ruptus, 3, a.","abrumpo, rupi, ruptus, 3, a.","to break off, away, or tear away from, 9.118; tear asunder, rend, 3.199; end suddenly or abruptly, 4.388; put an end to, 4.631; violate, 3.55; p. abruptus, a, um, having burst, bursting, breaking forth, subst., abruptum, ī, n., anything broken off; a precipice; abyss, chasm, 3.422; in abruptum, headlong, 12.687.",9
"abscessus, ūs, m.","abscessus, us, m.","a going away, retreat, 10.445. (abscēdō, to go away)",1
"abscīdō, cīdī, cīsus, 3, a.","abscido, cidi, cisus, 3, a.","to cut off, 12.511. (abs and caedō)",1
